Вопросы:
1)Чем конфигурируется IoC-контейнер(ApplicationContext)???
варианты: 1)XML; 2)Бинами; 3)Аннотациями; 4)Java-классами; 5)Сеттерами;
===================================================================
2)Что такое IoC???
варианты: 1)Independence of Class; 2)Inversion of control;
==================================================================
3)Что такое DI???
варианты: 1)Deep I; 2)Dibilnaja Idea; 3)Dependency Injection;
===================================================================
4)Что такое @Bean???
варианты: 1)Боб; 2)Объект; 3)Класс 4)Spring Object;
===================================================================
5)java или JS?
варианты: 1)----; 2)=====; 3)dadad; 4)daad

